procedure;type_torg;id_price;moscow;category;param
9;1;2;1;23;1,4
9;1;2;1;27;1,46
9;1;3;1;1;1,36
9;1;3;1;2;1,24
9;1;3;1;3;1,38
9;1;3;1;4;1,51
9;1;3;1;5;1,34
9;1;3;1;6;1,27
9;1;3;1;7;1,6
9;1;3;1;8;1,42
9;1;3;1;10;1,52
9;1;3;1;21;1,32
9;1;3;1;22;1,33
9;1;3;1;23;1,56
9;1;3;1;27;1,3
9;1;4;1;1;1,29
9;1;4;1;2;1,53
9;1;4;1;3;1,44
9;1;4;1;4;1,11
9;1;4;1;5;1,37
9;1;4;1;6;1,3
9;1;4;1;7;1,07
9;1;4;1;8;1,34
9;1;4;1;10;1,25
9;1;4;1;21;1,13
9;1;4;1;22;1,2
9;1;4;1;23;1,01
9;1;4;1;27;1,28
9;1;5;1;1;1,23
9;1;5;1;2;1,25
9;1;5;1;3;1,32
9;1;5;1;4;1,2
9;1;5;1;5;1,2
9;1;5;1;6;1,25
9;1;5;1;7;1,63
9;1;5;1;8;1,27
9;1;5;1;10;1,37
9;1;5;1;21;1,31
9;1;5;1;22;1,18
9;1;5;1;23;1,16
9;1;5;1;27;1,49
9;1;6;1;1;1,19
9;1;6;1;2;1,45
9;1;6;1;3;1,31
9;1;6;1;4;1,15
9;1;6;1;5;1,05
9;1;6;1;6;1,18
9;1;6;1;7;1,75
9;1;6;1;8;1,52
9;1;6;1;10;1,01
9;1;6;1;21;1,03
9;1;6;1;22;1,2
9;1;6;1;23;1,54
9;1;6;1;27;1,39
9;1;7;1;1;1,04
9;1;7;1;2;1,2
9;1;7;1;3;1,13
9;1;7;1;4;1,15
9;1;7;1;5;1,6
9;1;7;1;6;1,09
9;1;7;1;7;1,61
9;1;7;1;8;1,25
9;1;7;1;10;1,01
9;1;7;1;21;1,06
9;1;7;1;22;1,09
9;1;7;1;23;1,06
9;1;7;1;27;1,16
9;1;8;1;1;1,51
9;1;8;1;2;1,1
9;1;8;1;3;1,08
9;1;8;1;4;1,02
9;1;8;1;5;1,91
9;1;8;1;6;1,21
9;1;8;1;7;1,48
9;1;8;1;8;1,29
9;1;8;1;10;1,03
9;1;8;1;21;1,08
9;1;8;1;22;1,02
9;1;8;1;23;1,18
9;1;8;1;27;1,06
15;1;1;0;1;79.4
15;1;1;0;2;79.8
15;1;1;0;3;79.7
15;1;1;0;4;79.4
15;1;1;0;5;79.7
15;1;1;0;6;82.0
15;1;1;0;7;81.4
15;1;1;0;8;82.8
15;1;1;0;10;87.7
15;1;1;0;21;79.3
15;1;1;0;22;79.3
15;1;1;0;23;80.7
15;1;1;0;27;79.3
15;1;2;0;1;75.0
15;1;2;0;2;74.4
15;1;2;0;3;73.7
15;1;2;0;4;74.0
15;1;2;0;5;73.8
15;1;2;0;6;74.7
15;1;2;0;7;74.5 
15;1;2;0;8;80.7
15;1;2;0;10;87.7
15;1;2;0;21;79.8
15;1;2;0;22;79.8 
15;1;2;0;23;80.4
15;1;2;0;27;79.8
15;1;3;0;1;73.8 
15;1;3;0;2;73.9 
15;1;3;0;3;72.2 
15;1;3;0;4;73.9 
15;1;3;0;5;73.9 
15;1;3;0;6;76.1 
15;1;3;0;7;75.1 
15;1;3;0;8;77.7 
15;1;3;0;10;89.9 
15;1;3;0;21;82.7 
15;1;3;0;22;82.7 
15;1;3;0;23;84.4 
15;1;3;0;27;82.0 
15;1;4;0;1;78.1 
15;1;4;0;2;76.4 
15;1;4;0;3;76.7 
15;1;4;0;4;75.9 
15;1;4;0;5;76.0 
15;1;4;0;6;81.8 
15;1;4;0;7;80.9 
15;1;4;0;8;82.2 
15;1;4;0;10;87.3 
15;1;4;0;21;84.1 
15;1;4;0;22;84.1 
15;1;4;0;23;84.8 
15;1;4;0;27;84.1 
15;1;5;0;1;83.3 
15;1;5;0;2;81.0 
15;1;5;0;3;80.9 
15;1;5;0;4;80.5 
15;1;5;0;5;80.5 
15;1;5;0;6;81.3 
15;1;5;0;7;81.6 
15;1;5;0;8;81.7
15;1;5;0;10;88.7 
15;1;5;0;21;87.0 
15;1;5;0;22;86.9 
15;1;5;0;23;88.0 
15;1;5;0;27;87.1 
15;1;6;0;1;86.7 
15;1;6;0;2;83.3 
15;1;6;0;3;83.2 
15;1;6;0;4;82.0 
15;1;6;0;5;81.9 
15;1;6;0;6;81.4 
15;1;6;0;7;83.0 
15;1;6;0;8;82.1 
15;1;6;0;10;89.0 
15;1;6;0;21;90.3 
15;1;6;0;22;90.3 
15;1;6;0;23;89.9 
15;1;6;0;27;90.9 
15;1;7;0;1;90.0 
15;1;7;0;2;90.4 
15;1;7;0;3;90.4 
15;1;7;0;4;90.5
15;1;7;0;5;90.4 
15;1;7;0;6;87.1 
15;1;7;0;7;87.7 
15;1;7;0;8;87.2 
15;1;7;0;10;91.1 
15;1;7;0;21;91.1 
15;1;7;0;22;90.9 
15;1;7;0;23;90.4 
15;1;7;0;27;91.1 
15;1;8;0;1;95.7 
15;1;8;0;2;95.4 
15;1;8;0;3;95.3 
15;1;8;0;4;94.8 
15;1;8;0;5;94.9 
15;1;8;0;6;90.4 
15;1;8;0;7;90.2 
15;1;8;0;8;90.6 
15;1;8;0;10;94.3
15;1;8;0;21;96.0 
15;1;8;0;22;96.0 
15;1;8;0;23;95.8 
15;1;8;0;27;96.0 
15;1;1;1;1;78.5 
15;1;1;1;2;78.0 
15;1;1;1;3;77.9 
15;1;1;1;4;77.7 
15;1;1;1;5;78.2 
15;1;1;1;6;79.6 
15;1;1;1;7;79.0 
15;1;1;1;8;80.4 
15;1;1;1;10;82.4 
15;1;1;1;21;78.5 
15;1;1;1;22;78.5 
15;1;1;1;23;78.7 
15;1;1;1;27;78.5 
15;1;2;1;1;75.1 
15;1;2;1;2;71.9 
15;1;2;1;3;71.5 
15;1;2;1;4;71.9 
15;1;2;1;5;71.8 
15;1;2;1;6;71.3 
15;1;2;1;7;71.2 
15;1;2;1;8;73.1 
15;1;2;1;10;84.4 
15;1;2;1;21;77.6 
15;1;2;1;22;77.6 
15;1;2;1;23;77.7 
15;1;2;1;27;77.6 
15;1;3;1;1;77.5 
15;1;3;1;2;76.4 
15;1;3;1;3;76.2 
15;1;3;1;4;76.0 
15;1;3;1;5;75.5 
15;1;3;1;6;75.7 
15;1;3;1;7;75.3 
15;1;3;1;8;76.4 
15;1;3;1;10;82.1 
15;1;3;1;21;77.7 
15;1;3;1;22;77.7 
15;1;3;1;23;79.2 
15;1;3;1;27;77.7 
15;1;4;1;1;80.6 
15;1;4;1;2;79.0 
15;1;4;1;3;79.4 
15;1;4;1;4;79.0 
15;1;4;1;5;78.8 
15;1;4;1;6;78.6 
15;1;4;1;7;78.5 
15;1;4;1;8;79.4 
15;1;4;1;10;78.9 
15;1;4;1;21;76.6 
15;1;4;1;22;76.6 
15;1;4;1;23;77.8 
15;1;4;1;27;76.6 
15;1;5;1;1;81.8 
15;1;5;1;2;81.3 
15;1;5;1;3;81.4 
15;1;5;1;4;81.5 
15;1;5;1;5;81.4 
15;1;5;1;6;83.9 
15;1;5;1;7;81.1 
15;1;5;1;8;84.9 
15;1;5;1;10;91.3 
15;1;5;1;21;85.7 
15;1;5;1;22;85.7 
15;1;5;1;23;85.7 
15;1;5;1;27;85.7 
15;1;6;1;1;89.0 
15;1;6;1;2;86.8 
15;1;6;1;3;87.0 
15;1;6;1;4;86.8 
15;1;6;1;5;86.8 
15;1;6;1;6;80.7 
15;1;6;1;7;82.7 
15;1;6;1;8;80.8 
15;1;6;1;10;83.3 
15;1;6;1;21;88.6 
15;1;6;1;22;88.6 
15;1;6;1;23;89.4 
15;1;6;1;27;88.6 
15;1;7;1;1;91.2 
15;1;7;1;2;91.9 
15;1;7;1;3;91.8 
15;1;7;1;4;91.2 
15;1;7;1;5;91.2 
15;1;7;1;6;81.8 
15;1;7;1;7;89.0 
15;1;7;1;8;82.2 
15;1;7;1;10;75.7 
15;1;7;1;21;90.2 
15;1;7;1;22;90.2 
15;1;7;1;23;91.9 
15;1;7;1;27;90.2 
15;1;8;1;1;96.8 
15;1;8;1;2;96.4 
15;1;8;1;3;96.4 
15;1;8;1;4;96.5 
15;1;8;1;5;96.5 
15;1;8;1;6;91.4 
15;1;8;1;7;91.9 
15;1;8;1;8;91.2 
15;1;8;1;10;87.8 
15;1;8;1;21;97.5 
15;1;8;1;22;97.3 
15;1;8;1;23;96.9 
15;1;8;1;27;97.5 
